REF_AREA,Reference area,Measure,Unit of measure,Sex,Age,TIME_PERIOD
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,2019
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,2020
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,2021
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,2022
DNK,Denmark,Gross pension replacement rate at 100% of average wage,Percentage of gross pre-retirement earnings at the same income level,Male,Not applicable,2022
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,1970
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,1971
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,1972
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,1973
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,1974
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,1975
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,1976
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,1977
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,1978
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,1979
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,1980
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,1981
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,1982
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,1983
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,1984
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,1985
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,1986
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,1987
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,1988
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,1989
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,1990
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,1991
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,1992
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,1993
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,1994
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,1995
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,1996
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,1997
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,1998
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,1999
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,2000
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,2001
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,2002
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,2003
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,2004
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,2005
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,2006
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,2007
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,2008
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,2009
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,2010
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,2011
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,2012
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,2013
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,2014
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,2015
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,2016
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,2017
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,2018
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,2019
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,2020
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,2021
DNK,Denmark,Expected years after labour market exit,Years,Female,Not applicable,2022
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1950
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1951
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1952
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1953
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1954
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1955
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1956
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1957
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1958
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1959
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1960
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1961
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1962
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1963
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1964
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1965
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1966
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1967
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1968
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1969
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1970
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1971
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1972
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1973
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1974
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1975
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1976
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1977
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1978
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1979
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1980
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1981
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1982
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1983
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1984
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1985
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1986
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1987
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1988
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1989
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1991
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1992
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1993
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1994
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1996
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1997
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1998
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,1999
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,2001
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,2002
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,2003
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,2004
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,2022
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,2023
IRL,Ireland,Old-age to working-age ratio,Percentage of population aged 20-64 years,Not applicable,65 years or over,2024
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,1970
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,1971
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,1972
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,1973
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,1974
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,1975
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,1976
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,1977
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,1978
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,1979
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,1980
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,1981
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,1982
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,1983
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,1984
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,1985
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,1986
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,1987
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,1988
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,1989
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,1990
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,1991
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,1992
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,1993
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,1994
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,1995
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,1996
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,1997
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,1998
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,1999
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,2000
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,2001
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,2002
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,2003
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,2004
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,2005
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,2006
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,2007
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,2008
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,2009
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,2010
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,2011
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,2012
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,2013
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,2014
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,2015
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,2016
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,2017
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,2018
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,2019
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,2020
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,2021
IRL,Ireland,Effective labour market exit age,Years,Female,Not applicable,2022
ITA,Italy,Current retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2014
ITA,Italy,Current retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2018
ITA,Italy,Current retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2020
ITA,Italy,Current retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2022
LUX,Luxembourg,Gross pension replacement rate at 200% of average wage,Percentage of gross pre-retirement earnings at the same income level,Male,Not applicable,2022
NLD,Netherlands,Employment rate,Percentage of population in the same age,Not applicable,From 60 to 64 years,2014
NLD,Netherlands,Employment rate,Percentage of population in the same age,Not applicable,From 60 to 64 years,2018
NLD,Netherlands,Employment rate,Percentage of population in the same age,Not applicable,From 60 to 64 years,2020
NLD,Netherlands,Employment rate,Percentage of population in the same age,Not applicable,From 60 to 64 years,2022
NOR,Norway,Current retirement age for a person who entered the labour force at age 22,Years,Female,Not applicable,2014
NOR,Norway,Current retirement age for a person who entered the labour force at age 22,Years,Female,Not applicable,2018
NOR,Norway,Current retirement age for a person who entered the labour force at age 22,Years,Female,Not applicable,2020
NOR,Norway,Current retirement age for a person who entered the labour force at age 22,Years,Female,Not applicable,2022
POL,Poland,Occupational transfers to older people,Percentage of gross disposable income of the population aged over 65 years,Not applicable,66 years or over,2014
POL,Poland,Occupational transfers to older people,Percentage of gross disposable income of the population aged over 65 years,Not applicable,66 years or over,2016
POL,Poland,Occupational transfers to older people,Percentage of gross disposable income of the population aged over 65 years,Not applicable,66 years or over,2018
POL,Poland,Occupational transfers to older people,Percentage of gross disposable income of the population aged over 65 years,Not applicable,66 years or over,2020
SVK,Slovak Republic,Gross pension replacement rate at 200% of average wage,Percentage of gross pre-retirement earnings at the same income level,Female,Not applicable,2022
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,1970
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,1971
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,1972
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,1973
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,1974
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,1975
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,1976
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,1977
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,1978
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,1979
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,1980
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,1981
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,1982
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,1983
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,1984
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,1985
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,1986
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,1987
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,1988
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,1989
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,1990
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,1991
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,1992
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,1993
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,1994
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,1995
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,1996
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,1997
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,1998
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,1999
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,2000
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,2001
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,2002
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,2003
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,2004
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,2005
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,2006
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,2007
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,2008
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,2009
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,2010
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,2011
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,2012
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,2013
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,2014
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,2015
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,2016
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,2017
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,2018
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,2019
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,2020
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,2021
SVK,Slovak Republic,Effective labour market exit age,Years,Male,Not applicable,2022
SWE,Sweden,Future retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2014
SWE,Sweden,Future retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2018
SWE,Sweden,Future retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2020
SWE,Sweden,Future retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2022
CHL,Chile,Current retirement age for a person who entered the labour force at age 22,Years,Female,Not applicable,2014
CHL,Chile,Current retirement age for a person who entered the labour force at age 22,Years,Female,Not applicable,2018
CHL,Chile,Current retirement age for a person who entered the labour force at age 22,Years,Female,Not applicable,2020
CHL,Chile,Current retirement age for a person who entered the labour force at age 22,Years,Female,Not applicable,2022
SVN,Slovenia,Gross pension replacement rate at 100% of average wage,Percentage of gross pre-retirement earnings at the same income level,Male,Not applicable,2022
KOR,Korea,Capital income of older people,Percentage of gross disposable income of the population aged over 65 years,Not applicable,66 years or over,2014
KOR,Korea,Capital income of older people,Percentage of gross disposable income of the population aged over 65 years,Not applicable,66 years or over,2016
KOR,Korea,Capital income of older people,Percentage of gross disposable income of the population aged over 65 years,Not applicable,66 years or over,2018
KOR,Korea,Capital income of older people,Percentage of gross disposable income of the population aged over 65 years,Not applicable,66 years or over,2020
CRI,Costa Rica,Gross pension replacement rate at 100% of average wage,Percentage of gross pre-retirement earnings at the same income level,Male,Not applicable,2022
COL,Colombia,Occupational transfers to older people,Percentage of gross disposable income of the population aged over 65 years,Not applicable,66 years or over,2020
ARG,Argentina,Gross pension replacement rate at 100% of average wage,Percentage of gross pre-retirement earnings at the same income level,Male,Not applicable,2022
CHN,China (People’s Republic of),Gross pension replacement rate at 100% of average wage,Percentage of gross pre-retirement earnings at the same income level,Female,Not applicable,2022
BGR,Bulgaria,Gross pension replacement rate at 100% of average wage,Percentage of gross pre-retirement earnings at the same income level,Male,Not applicable,2022
IDN,Indonesia,Future retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2014
IDN,Indonesia,Future retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2018
IDN,Indonesia,Future retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2020
IDN,Indonesia,Future retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2022
CHN,China (People’s Republic of),Expected years after labour market exit,Years,Female,Not applicable,1987
CHN,China (People’s Republic of),Expected years after labour market exit,Years,Female,Not applicable,1988
CHN,China (People’s Republic of),Expected years after labour market exit,Years,Female,Not applicable,1989
CHN,China (People’s Republic of),Expected years after labour market exit,Years,Female,Not applicable,1991
CHN,China (People’s Republic of),Expected years after labour market exit,Years,Female,Not applicable,1993
CHN,China (People’s Republic of),Expected years after labour market exit,Years,Female,Not applicable,1994
CHN,China (People’s Republic of),Expected years after labour market exit,Years,Female,Not applicable,1996
CHN,China (People’s Republic of),Expected years after labour market exit,Years,Female,Not applicable,1997
CHN,China (People’s Republic of),Expected years after labour market exit,Years,Female,Not applicable,1998
CHN,China (People’s Republic of),Expected years after labour market exit,Years,Female,Not applicable,1999
CHN,China (People’s Republic of),Expected years after labour market exit,Years,Female,Not applicable,2001
CHN,China (People’s Republic of),Expected years after labour market exit,Years,Female,Not applicable,2002
CHN,China (People’s Republic of),Expected years after labour market exit,Years,Female,Not applicable,2003
CHN,China (People’s Republic of),Expected years after labour market exit,Years,Female,Not applicable,2004
EU27,European Union (27 countries),Current retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2020
EU27,European Union (27 countries),Current retirement age for a person who entered the labour force at age 22,Years,Male,Not applicable,2022
OECD_REP,OECD average country,Gross pension replacement rate at 100% of average wage,Percentage of gross pre-retirement earnings at the same income level,Male,Not applicable,2022
EU28,European Union (28 countries),Current retirement age for a person who entered the labour force at age 22,Years,Female,Not applicable,2014
EU28,European Union (28 countries),Current retirement age for a person who entered the labour force at age 22,Years,Female,Not applicable,2018
HRV,Croatia,Effective labour market exit age,Years,Male,Not applicable,1995
HRV,Croatia,Effective labour market exit age,Years,Male,Not applicable,1996
HRV,Croatia,Effective labour market exit age,Years,Male,Not applicable,1997
HRV,Croatia,Effective labour market exit age,Years,Male,Not applicable,1998
HRV,Croatia,Effective labour market exit age,Years,Male,Not applicable,1999
HRV,Croatia,Effective labour market exit age,Years,Male,Not applicable,2000
HRV,Croatia,Effective labour market exit age,Years,Male,Not applicable,2001
HRV,Croatia,Effective labour market exit age,Years,Male,Not applicable,2002
HRV,Croatia,Effective labour market exit age,Years,Male,Not applicable,2003
