Country Names,REF_AREA,ISO,TIME_PERIOD,Age,% of pop percieved  health,Well-being value,Measure,Unit of measure,65+ values,Mean Exposure to PM2.5 Mg/metere3,POLLUTANT,Total man-made emissions in Tonnes,% of GDP spent on Ed.
Czechia,CZE,,1999,,,,Effective labour market exit age,Years,60.9,,,,
Czechia,CZE,,2000,,,,Effective labour market exit age,Years,60.6,,,,
Czechia,CZE,,2001,,,,Effective labour market exit age,Years,60.9,,,,
Czechia,CZE,,2002,,,,Effective labour market exit age,Years,60.8,,,,
Czechia,CZE,,2003,,,,Effective labour market exit age,Years,60.7,,,,
Czechia,CZE,,2004,,,,Effective labour market exit age,Years,60.4,,,,
Czechia,CZE,,2005,,,,Effective labour market exit age,Years,60.6,,,,
Czechia,CZE,,2006,,,,Effective labour market exit age,Years,60.7,,,,
Czechia,CZE,,2007,,,,Effective labour market exit age,Years,61.1,,,,
Czechia,CZE,,2008,,,,Effective labour market exit age,Years,61.7,,,,
Czechia,CZE,,2009,,,,Effective labour market exit age,Years,61.2,,,,
Czechia,CZE,,2010,,,,Effective labour market exit age,Years,61.5,,,,
Czechia,CZE,,2011,,,,Effective labour market exit age,Years,61.6,,,,
Czechia,CZE,,2012,,,,Effective labour market exit age,Years,62.2,,,,
Czechia,CZE,,2013,,,,Effective labour market exit age,Years,62.5,,,,
Czechia,CZE,,2014,,,,Effective labour market exit age,Years,62.4,,,,
Czechia,CZE,,2015,,,,Effective labour market exit age,Years,62,,,,
Czechia,CZE,,2016,,,,Effective labour market exit age,Years,61.6,,,,
Czechia,CZE,,2017,,,,Effective labour market exit age,Years,61.8,,,,
Czechia,CZE,,2018,,,,Effective labour market exit age,Years,62.3,,,,
Czechia,CZE,,2019,,,,Effective labour market exit age,Years,63,,,,
Czechia,CZE,,2020,,,,Effective labour market exit age,Years,63.1,,,,
Czechia,CZE,,2021,,,,Effective labour market exit age,Years,63.5,,,,
Czechia,CZE,,2022,,,,Effective labour market exit age,Years,64,,,,
Denmark,DNK,,2022,,,,Gross pension replacement rate at 100% of average wage,Percentage of gross pre-retirement earnings at the same income level,73.1,,,,
Denmark,DNK,,1970,,,,Expected years after labour market exit,Years,17.1,,,,
Denmark,DNK,,1971,,,,Expected years after labour market exit,Years,17.3,,,,
Denmark,DNK,,1972,,,,Expected years after labour market exit,Years,17.5,,,,
Denmark,DNK,,1973,,,,Expected years after labour market exit,Years,17.7,,,,
Denmark,DNK,,1974,,,,Expected years after labour market exit,Years,17.8,,,,
Denmark,DNK,,1975,,,,Expected years after labour market exit,Years,18.4,,,,
Denmark,DNK,,1976,,,,Expected years after labour market exit,Years,18.4,,,,
Denmark,DNK,,1977,,,,Expected years after labour market exit,Years,18.6,,,,
Denmark,DNK,,1978,,,,Expected years after labour market exit,Years,18.7,,,,
Denmark,DNK,,1979,,,,Expected years after labour market exit,Years,18.7,,,,
Denmark,DNK,,1980,,,,Expected years after labour market exit,Years,19,,,,
Denmark,DNK,,1981,,,,Expected years after labour market exit,Years,19,,,,
Denmark,DNK,,1982,,,,Expected years after labour market exit,Years,19,,,,
Denmark,DNK,,1983,,,,Expected years after labour market exit,Years,19.5,,,,
Denmark,DNK,,1984,,,,Expected years after labour market exit,Years,20.3,,,,
Denmark,DNK,,1985,,,,Expected years after labour market exit,Years,19.8,,,,
Denmark,DNK,,1986,,,,Expected years after labour market exit,Years,19.4,,,,
Denmark,DNK,,1987,,,,Expected years after labour market exit,Years,21,,,,
Denmark,DNK,,1988,,,,Expected years after labour market exit,Years,21.2,,,,
Denmark,DNK,,1989,,,,Expected years after labour market exit,Years,20.7,,,,
Denmark,DNK,,1990,,,,Expected years after labour market exit,Years,20.6,,,,
Denmark,DNK,,1991,,,,Expected years after labour market exit,Years,20.8,,,,
Denmark,DNK,,1992,,,,Expected years after labour market exit,Years,20.9,,,,
Denmark,DNK,,1993,,,,Expected years after labour market exit,Years,21.7,,,,
Denmark,DNK,,1994,,,,Expected years after labour market exit,Years,22.8,,,,
Denmark,DNK,,1995,,,,Expected years after labour market exit,Years,22.5,,,,
Denmark,DNK,,1996,,,,Expected years after labour market exit,Years,23.4,,,,
Denmark,DNK,,1997,,,,Expected years after labour market exit,Years,23.4,,,,
Denmark,DNK,,1998,,,,Expected years after labour market exit,Years,22.9,,,,
Denmark,DNK,,1999,,,,Expected years after labour market exit,Years,21.8,,,,
Denmark,DNK,,2000,,,,Expected years after labour market exit,Years,22.8,,,,
Denmark,DNK,,2001,,,,Expected years after labour market exit,Years,22.1,,,,
Denmark,DNK,,2002,,,,Expected years after labour market exit,Years,21.1,,,,
Denmark,DNK,,2003,,,,Expected years after labour market exit,Years,20.8,,,,
Denmark,DNK,,2004,,,,Expected years after labour market exit,Years,21.7,,,,
Denmark,DNK,,2005,,,,Expected years after labour market exit,Years,22,,,,
Denmark,DNK,,2006,,,,Expected years after labour market exit,Years,21.6,,,,
Denmark,DNK,,2007,,,,Expected years after labour market exit,Years,22.2,,,,
Denmark,DNK,,2008,,,,Expected years after labour market exit,Years,22.5,,,,
Denmark,DNK,,2009,,,,Expected years after labour market exit,Years,22.8,,,,
Denmark,DNK,,2010,,,,Expected years after labour market exit,Years,22.8,,,,
Denmark,DNK,,2011,,,,Expected years after labour market exit,Years,23.9,,,,
Denmark,DNK,,2012,,,,Expected years after labour market exit,Years,23.6,,,,
Denmark,DNK,,2013,,,,Expected years after labour market exit,Years,23.9,,,,
Denmark,DNK,,2014,,,,Expected years after labour market exit,Years,24.8,,,,
Denmark,DNK,,2015,,,,Expected years after labour market exit,Years,24.4,,,,
Denmark,DNK,,2016,,,,Expected years after labour market exit,Years,23,,,,
Denmark,DNK,,2017,,,,Expected years after labour market exit,Years,23.2,,,,
Denmark,DNK,,2018,,,,Expected years after labour market exit,Years,23.3,,,,
Denmark,DNK,,2019,,,,Expected years after labour market exit,Years,22.4,,,,
Denmark,DNK,,2020,,,,Expected years after labour market exit,Years,22.4,,,,
Denmark,DNK,,2021,,,,Expected years after labour market exit,Years,21.7,,,,
Denmark,DNK,,2022,,,,Expected years after labour market exit,Years,22.4,,,,
Ireland,IRL,,1950,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,20.9,,,,
Ireland,IRL,,1951,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,20.7,,,,
Ireland,IRL,,1952,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,20.7,,,,
Ireland,IRL,,1953,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,20.7,,,,
Ireland,IRL,,1954,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,20.8,,,,
Ireland,IRL,,1955,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,21,,,,
Ireland,IRL,,1956,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,21.3,,,,
Ireland,IRL,,1957,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,21.6,,,,
Ireland,IRL,,1958,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,21.9,,,,
Ireland,IRL,,1959,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,22.2,,,,
Ireland,IRL,,1960,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,22.5,,,,
Ireland,IRL,,1961,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,22.7,,,,
Ireland,IRL,,1962,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,23.1,,,,
Ireland,IRL,,1963,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,23,,,,
Ireland,IRL,,1964,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,23,,,,
Ireland,IRL,,1965,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,23.1,,,,
Ireland,IRL,,1966,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,23.1,,,,
Ireland,IRL,,1967,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,23.1,,,,
Ireland,IRL,,1968,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,23.1,,,,
Ireland,IRL,,1969,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,23,,,,
Ireland,IRL,,1970,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,22.9,,,,
Ireland,IRL,,1971,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,22.7,,,,
Ireland,IRL,,1972,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,22.5,,,,
Ireland,IRL,,1973,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,22.3,,,,
Ireland,IRL,,1974,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,22.1,,,,
Ireland,IRL,,1975,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,21.4,,,,
Ireland,IRL,,1976,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,21.9,,,,
Ireland,IRL,,1977,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,21.9,,,,
Ireland,IRL,,1978,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,22,,,,
Ireland,IRL,,1979,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,22,,,,
Ireland,IRL,,1980,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,21.9,,,,
Ireland,IRL,,1981,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,21.9,,,,
Ireland,IRL,,1982,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,21.7,,,,
Ireland,IRL,,1983,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,21.6,,,,
Ireland,IRL,,1984,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,21.5,,,,
Ireland,IRL,,1985,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,21.5,,,,
Ireland,IRL,,1986,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,21.6,,,,
Ireland,IRL,,1987,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,21.6,,,,
Ireland,IRL,,1988,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,21.7,,,,
Ireland,IRL,,1989,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,21.8,,,,
Ireland,IRL,,1991,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,21.7,,,,
Ireland,IRL,,1992,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,21.7,,,,
Ireland,IRL,,1993,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,21.4,,,,
Ireland,IRL,,1994,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,21.1,,,,
Ireland,IRL,,1996,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,20.5,,,,
Ireland,IRL,,1997,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,20.2,,,,
Ireland,IRL,,1998,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,19.9,,,,
Ireland,IRL,,1999,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,19.5,,,,
Ireland,IRL,,2001,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,18.9,,,,
Ireland,IRL,,2002,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,18.6,,,,
Ireland,IRL,,2003,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,18.4,,,,
Ireland,IRL,,2004,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,18.2,,,,
Ireland,IRL,,2022,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,25.8,,,,
Ireland,IRL,,2023,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,26,,,,
Ireland,IRL,,2024,,,,Old-age to working-age ratio,Percentage of population aged 20-64 years,26.7,,,,
Ireland,IRL,,1970,,,,Effective labour market exit age,Years,72.3,,,,
Ireland,IRL,,1971,,,,Effective labour market exit age,Years,72.2,,,,
Ireland,IRL,,1972,,,,Effective labour market exit age,Years,71.6,,,,
Ireland,IRL,,1973,,,,Effective labour market exit age,Years,71.2,,,,
Ireland,IRL,,1974,,,,Effective labour market exit age,Years,70.9,,,,
Ireland,IRL,,1975,,,,Effective labour market exit age,Years,70.6,,,,
Ireland,IRL,,1976,,,,Effective labour market exit age,Years,70.4,,,,
Ireland,IRL,,1977,,,,Effective labour market exit age,Years,69.8,,,,
Ireland,IRL,,1978,,,,Effective labour market exit age,Years,69.2,,,,
Ireland,IRL,,1979,,,,Effective labour market exit age,Years,68.6,,,,
Ireland,IRL,,1980,,,,Effective labour market exit age,Years,68,,,,
Ireland,IRL,,1981,,,,Effective labour market exit age,Years,67.5,,,,
Ireland,IRL,,1982,,,,Effective labour market exit age,Years,67.4,,,,
Ireland,IRL,,1983,,,,Effective labour market exit age,Years,67.4,,,,
Ireland,IRL,,1984,,,,Effective labour market exit age,Years,66.1,,,,
Ireland,IRL,,1985,,,,Effective labour market exit age,Years,66,,,,
Ireland,IRL,,1986,,,,Effective labour market exit age,Years,64.6,,,,
Ireland,IRL,,1987,,,,Effective labour market exit age,Years,64.4,,,,
Ireland,IRL,,1988,,,,Effective labour market exit age,Years,61.9,,,,
Ireland,IRL,,1989,,,,Effective labour market exit age,Years,61.6,,,,
Ireland,IRL,,1990,,,,Effective labour market exit age,Years,62.4,,,,
Ireland,IRL,,1991,,,,Effective labour market exit age,Years,63.3,,,,
Ireland,IRL,,1992,,,,Effective labour market exit age,Years,62.1,,,,
Ireland,IRL,,1993,,,,Effective labour market exit age,Years,63,,,,
Ireland,IRL,,1994,,,,Effective labour market exit age,Years,64.2,,,,
Ireland,IRL,,1995,,,,Effective labour market exit age,Years,63.1,,,,
Ireland,IRL,,1996,,,,Effective labour market exit age,Years,63.6,,,,
Ireland,IRL,,1997,,,,Effective labour market exit age,Years,62.9,,,,
Ireland,IRL,,1998,,,,Effective labour market exit age,Years,62.9,,,,
Ireland,IRL,,1999,,,,Effective labour market exit age,Years,64.4,,,,
Ireland,IRL,,2000,,,,Effective labour market exit age,Years,64.8,,,,
Ireland,IRL,,2001,,,,Effective labour market exit age,Years,64.1,,,,
Ireland,IRL,,2002,,,,Effective labour market exit age,Years,64.6,,,,
Ireland,IRL,,2003,,,,Effective labour market exit age,Years,64.5,,,,
Ireland,IRL,,2004,,,,Effective labour market exit age,Years,63.6,,,,
Ireland,IRL,,2005,,,,Effective labour market exit age,Years,64.3,,,,
Ireland,IRL,,2006,,,,Effective labour market exit age,Years,64.6,,,,
Ireland,IRL,,2007,,,,Effective labour market exit age,Years,63.6,,,,
Ireland,IRL,,2008,,,,Effective labour market exit age,Years,63.7,,,,
Ireland,IRL,,2009,,,,Effective labour market exit age,Years,62.8,,,,
Ireland,IRL,,2010,,,,Effective labour market exit age,Years,63.2,,,,
Ireland,IRL,,2011,,,,Effective labour market exit age,Years,63.3,,,,
Ireland,IRL,,2012,,,,Effective labour market exit age,Years,61.9,,,,
Ireland,IRL,,2013,,,,Effective labour market exit age,Years,62.5,,,,
Ireland,IRL,,2014,,,,Effective labour market exit age,Years,61.9,,,,
Ireland,IRL,,2015,,,,Effective labour market exit age,Years,62.3,,,,
Ireland,IRL,,2016,,,,Effective labour market exit age,Years,62.6,,,,
Ireland,IRL,,2017,,,,Effective labour market exit age,Years,63.2,,,,
Ireland,IRL,,2018,,,,Effective labour market exit age,Years,63,,,,
Ireland,IRL,,2019,,,,Effective labour market exit age,Years,63.8,,,,
Ireland,IRL,,2020,,,,Effective labour market exit age,Years,63.9,,,,
Ireland,IRL,,2021,,,,Effective labour market exit age,Years,65,,,,
Ireland,IRL,,2022,,,,Effective labour market exit age,Years,64.9,,,,
Italy,ITA,,2014,,,,Current retirement age for a person who entered the labour force at age 22,Years,62.5,,,,
Italy,ITA,,2018,,,,Current retirement age for a person who entered the labour force at age 22,Years,67,,,,
Italy,ITA,,2020,,,,Current retirement age for a person who entered the labour force at age 22,Years,62,,,,
Italy,ITA,,2022,,,,Current retirement age for a person who entered the labour force at age 22,Years,64,,,,
Luxembourg,LUX,,2022,,,,Gross pension replacement rate at 200% of average wage,Percentage of gross pre-retirement earnings at the same income level,68.8,,,,
Netherlands,NLD,,2014,,,,Employment rate,Percentage of population in the same age,70.3,,,,
Netherlands,NLD,,2018,,,,Employment rate,Percentage of population in the same age,58.1,,,,
Netherlands,NLD,,2020,,,,Employment rate,Percentage of population in the same age,62.8,,,,
Netherlands,NLD,,2022,,,,Employment rate,Percentage of population in the same age,64.6,,,,
Norway,NOR,,2014,,,,Current retirement age for a person who entered the labour force at age 22,Years,67,,,,
Norway,NOR,,2018,,,,Current retirement age for a person who entered the labour force at age 22,Years,67,,,,
Norway,NOR,,2020,,,,Current retirement age for a person who entered the labour force at age 22,Years,67,,,,
Norway,NOR,,2022,,,,Current retirement age for a person who entered the labour force at age 22,Years,67,,,,
Poland,POL,,2014,,,,Occupational transfers to older people,Percentage of gross disposable income of the population aged over 65 years,0,,,,
Poland,POL,,2016,,,,Occupational transfers to older people,Percentage of gross disposable income of the population aged over 65 years,0,,,,
Poland,POL,,2018,,,,Occupational transfers to older people,Percentage of gross disposable income of the population aged over 65 years,0,,,,
Poland,POL,,2020,,,,Occupational transfers to older people,Percentage of gross disposable income of the population aged over 65 years,0,,,,
Slovak Republic,SVK,,2022,,,,Gross pension replacement rate at 200% of average wage,Percentage of gross pre-retirement earnings at the same income level,48.3,,,,
Slovak Republic,SVK,,1970,,,,Effective labour market exit age,Years,63,,,,
Slovak Republic,SVK,,1971,,,,Effective labour market exit age,Years,62.7,,,,
Slovak Republic,SVK,,1972,,,,Effective labour market exit age,Years,62.4,,,,
Slovak Republic,SVK,,1973,,,,Effective labour market exit age,Years,62.1,,,,
Slovak Republic,SVK,,1974,,,,Effective labour market exit age,Years,61.7,,,,
Slovak Republic,SVK,,1975,,,,Effective labour market exit age,Years,61.3,,,,
Slovak Republic,SVK,,1976,,,,Effective labour market exit age,Years,61.4,,,,
Slovak Republic,SVK,,1977,,,,Effective labour market exit age,Years,61.5,,,,
Slovak Republic,SVK,,1978,,,,Effective labour market exit age,Years,61.6,,,,
Slovak Republic,SVK,,1979,,,,Effective labour market exit age,Years,61.7,,,,
Slovak Republic,SVK,,1980,,,,Effective labour market exit age,Years,61.8,,,,
Slovak Republic,SVK,,1981,,,,Effective labour market exit age,Years,62.1,,,,
Slovak Republic,SVK,,1982,,,,Effective labour market exit age,Years,62.4,,,,
Slovak Republic,SVK,,1983,,,,Effective labour market exit age,Years,62.5,,,,
Slovak Republic,SVK,,1984,,,,Effective labour market exit age,Years,62.7,,,,
Slovak Republic,SVK,,1985,,,,Effective labour market exit age,Years,62.8,,,,
Slovak Republic,SVK,,1986,,,,Effective labour market exit age,Years,62.5,,,,
Slovak Republic,SVK,,1987,,,,Effective labour market exit age,Years,62.1,,,,
Slovak Republic,SVK,,1988,,,,Effective labour market exit age,Years,61.8,,,,
Slovak Republic,SVK,,1989,,,,Effective labour market exit age,Years,61.5,,,,
Slovak Republic,SVK,,1990,,,,Effective labour market exit age,Years,61.3,,,,
Slovak Republic,SVK,,1991,,,,Effective labour market exit age,Years,61,,,,
Slovak Republic,SVK,,1992,,,,Effective labour market exit age,Years,60.4,,,,
Slovak Republic,SVK,,1993,,,,Effective labour market exit age,Years,59.9,,,,
Slovak Republic,SVK,,1994,,,,Effective labour market exit age,Years,59.8,,,,
Slovak Republic,SVK,,1995,,,,Effective labour market exit age,Years,59.8,,,,
Slovak Republic,SVK,,1996,,,,Effective labour market exit age,Years,59.5,,,,
Slovak Republic,SVK,,1997,,,,Effective labour market exit age,Years,59.1,,,,
Slovak Republic,SVK,,1998,,,,Effective labour market exit age,Years,58.9,,,,
Slovak Republic,SVK,,1999,,,,Effective labour market exit age,Years,58.5,,,,
Slovak Republic,SVK,,2000,,,,Effective labour market exit age,Years,58.8,,,,
Slovak Republic,SVK,,2001,,,,Effective labour market exit age,Years,59,,,,
Slovak Republic,SVK,,2002,,,,Effective labour market exit age,Years,58.8,,,,
Slovak Republic,SVK,,2003,,,,Effective labour market exit age,Years,59.5,,,,
Slovak Republic,SVK,,2004,,,,Effective labour market exit age,Years,59.2,,,,
Slovak Republic,SVK,,2005,,,,Effective labour market exit age,Years,58.7,,,,
Slovak Republic,SVK,,2006,,,,Effective labour market exit age,Years,58.7,,,,
Slovak Republic,SVK,,2007,,,,Effective labour market exit age,Years,58.8,,,,
Slovak Republic,SVK,,2008,,,,Effective labour market exit age,Years,58.7,,,,
Slovak Republic,SVK,,2009,,,,Effective labour market exit age,Years,59.3,,,,
Slovak Republic,SVK,,2010,,,,Effective labour market exit age,Years,59.5,,,,
Slovak Republic,SVK,,2011,,,,Effective labour market exit age,Years,59.9,,,,
Slovak Republic,SVK,,2012,,,,Effective labour market exit age,Years,60.4,,,,
Slovak Republic,SVK,,2013,,,,Effective labour market exit age,Years,60.8,,,,
Slovak Republic,SVK,,2014,,,,Effective labour market exit age,Years,60.6,,,,
Slovak Republic,SVK,,2015,,,,Effective labour market exit age,Years,60.4,,,,
Slovak Republic,SVK,,2016,,,,Effective labour market exit age,Years,60.2,,,,
Slovak Republic,SVK,,2017,,,,Effective labour market exit age,Years,60.1,,,,
Slovak Republic,SVK,,2018,,,,Effective labour market exit age,Years,60.6,,,,
Slovak Republic,SVK,,2019,,,,Effective labour market exit age,Years,60.1,,,,
Slovak Republic,SVK,,2020,,,,Effective labour market exit age,Years,60.2,,,,
Slovak Republic,SVK,,2021,,,,Effective labour market exit age,Years,60.6,,,,
Slovak Republic,SVK,,2022,,,,Effective labour market exit age,Years,61.7,,,,
Sweden,SWE,,2014,,,,Future retirement age for a person who entered the labour force at age 22,Years,65,,,,
Sweden,SWE,,2018,,,,Future retirement age for a person who entered the labour force at age 22,Years,65,,,,
Sweden,SWE,,2020,,,,Future retirement age for a person who entered the labour force at age 22,Years,65,,,,
Sweden,SWE,,2022,,,,Future retirement age for a person who entered the labour force at age 22,Years,70,,,,
Chile,CHL,,2014,,,,Current retirement age for a person who entered the labour force at age 22,Years,60,,,,
Chile,CHL,,2018,,,,Current retirement age for a person who entered the labour force at age 22,Years,65,,,,
Chile,CHL,,2020,,,,Current retirement age for a person who entered the labour force at age 22,Years,65,,,,
Chile,CHL,,2022,,,,Current retirement age for a person who entered the labour force at age 22,Years,65,,,,
Slovenia,SVN,,2022,,,,Gross pension replacement rate at 100% of average wage,Percentage of gross pre-retirement earnings at the same income level,42.1,,,,
Korea,KOR,,2014,,,,Capital income of older people,Percentage of gross disposable income of the population aged over 65 years,19.1,,,,
Korea,KOR,,2016,,,,Capital income of older people,Percentage of gross disposable income of the population aged over 65 years,22.5,,,,
Korea,KOR,,2018,,,,Capital income of older people,Percentage of gross disposable income of the population aged over 65 years,22.1,,,,
Korea,KOR,,2020,,,,Capital income of older people,Percentage of gross disposable income of the population aged over 65 years,21.4,,,,
Costa Rica,CRI,,2022,,,,Gross pension replacement rate at 100% of average wage,Percentage of gross pre-retirement earnings at the same income level,64.1,,,,
Colombia,COL,,2020,,,,Occupational transfers to older people,Percentage of gross disposable income of the population aged over 65 years,0,,,,
Argentina,ARG,,2022,,,,Gross pension replacement rate at 100% of average wage,Percentage of gross pre-retirement earnings at the same income level,78.7,,,,
China (People’s Republic of),CHN,,2022,,,,Gross pension replacement rate at 100% of average wage,Percentage of gross pre-retirement earnings at the same income level,53.8,,,,
Bulgaria,BGR,,2022,,,,Gross pension replacement rate at 100% of average wage,Percentage of gross pre-retirement earnings at the same income level,58.3,,,,
Indonesia,IDN,,2014,,,,Future retirement age for a person who entered the labour force at age 22,Years,55,,,,
Indonesia,IDN,,2018,,,,Future retirement age for a person who entered the labour force at age 22,Years,65,,,,
Indonesia,IDN,,2020,,,,Future retirement age for a person who entered the labour force at age 22,Years,65,,,,
Indonesia,IDN,,2022,,,,Future retirement age for a person who entered the labour force at age 22,Years,65,,,,
China (People’s Republic of),CHN,,1987,,,,Expected years after labour market exit,Years,22.4,,,,
China (People’s Republic of),CHN,,1988,,,,Expected years after labour market exit,Years,22.1,,,,
China (People’s Republic of),CHN,,1989,,,,Expected years after labour market exit,Years,21.7,,,,
China (People’s Republic of),CHN,,1991,,,,Expected years after labour market exit,Years,21.8,,,,
China (People’s Republic of),CHN,,1993,,,,Expected years after labour market exit,Years,22.6,,,,
China (People’s Republic of),CHN,,1994,,,,Expected years after labour market exit,Years,22.9,,,,
China (People’s Republic of),CHN,,1996,,,,Expected years after labour market exit,Years,23.2,,,,
China (People’s Republic of),CHN,,1997,,,,Expected years after labour market exit,Years,23,,,,
China (People’s Republic of),CHN,,1998,,,,Expected years after labour market exit,Years,22.7,,,,
