STRUCTURE_NAME,REF_AREA,Reference area,Measure,Unit of measure,Age,Domain,TIME_PERIOD
Current well-being by age,FIN,Finland,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2007
Current well-being by age,FIN,Finland,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2008
Current well-being by age,FIN,Finland,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2009
Current well-being by age,FIN,Finland,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2010
Current well-being by age,FIN,Finland,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2011
Current well-being by age,FIN,Finland,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2012
Current well-being by age,FIN,Finland,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2013
Current well-being by age,FIN,Finland,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2014
Current well-being by age,FIN,Finland,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2015
Current well-being by age,FIN,Finland,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2016
Current well-being by age,GRC,Greece,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2004
Current well-being by age,GRC,Greece,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2005
Current well-being by age,GRC,Greece,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2006
Current well-being by age,GRC,Greece,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2007
Current well-being by age,GRC,Greece,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2008
Current well-being by age,GRC,Greece,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2009
Current well-being by age,GRC,Greece,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2010
Current well-being by age,GRC,Greece,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2011
Current well-being by age,GRC,Greece,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2012
Current well-being by age,GRC,Greece,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2013
Current well-being by age,GRC,Greece,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2014
Current well-being by age,GRC,Greece,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2015
Current well-being by age,GRC,Greece,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2016
Current well-being by age,GRC,Greece,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2017
Current well-being by age,GRC,Greece,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2018
Current well-being by age,GRC,Greece,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2019
Current well-being by age,GRC,Greece,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2020
Current well-being by age,GRC,Greece,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2021
Current well-being by age,GRC,Greece,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2022
Current well-being by age,NOR,Norway,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2004
Current well-being by age,NOR,Norway,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2005
Current well-being by age,NOR,Norway,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2006
Current well-being by age,NOR,Norway,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2007
Current well-being by age,NOR,Norway,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2008
Current well-being by age,NOR,Norway,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2009
Current well-being by age,NOR,Norway,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2010
Current well-being by age,NOR,Norway,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2011
Current well-being by age,NOR,Norway,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2012
Current well-being by age,NOR,Norway,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2013
Current well-being by age,NOR,Norway,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2014
Current well-being by age,NOR,Norway,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2015
Current well-being by age,NOR,Norway,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2016
Current well-being by age,NOR,Norway,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2017
Current well-being by age,NOR,Norway,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2018
Current well-being by age,NOR,Norway,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2019
Current well-being by age,NOR,Norway,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2020
Current well-being by age,NOR,Norway,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2021
Current well-being by age,NOR,Norway,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2022
Current well-being by age,CZE,Czechia,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2007
Current well-being by age,CZE,Czechia,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2008
Current well-being by age,CZE,Czechia,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2009
Current well-being by age,CZE,Czechia,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2010
Current well-being by age,CZE,Czechia,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2011
Current well-being by age,CZE,Czechia,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2012
Current well-being by age,CZE,Czechia,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2013
Current well-being by age,CZE,Czechia,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2014
Current well-being by age,CZE,Czechia,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2015
Current well-being by age,CZE,Czechia,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2016
Current well-being by age,HUN,Hungary,Job strain,Percentage of employees in the same subgroup,Young,Work and job quality,2005
Current well-being by age,HUN,Hungary,Job strain,Percentage of employees in the same subgroup,Young,Work and job quality,2010
Current well-being by age,HUN,Hungary,Job strain,Percentage of employees in the same subgroup,Young,Work and job quality,2015
Current well-being by age,DEU,Germany,Having a say in government,Percentage of population aged 16-65 in the same subgroup,Middle-aged,Civic engagement,2012
Current well-being by age,CHL,Chile,Adult numeracy skills,Points,Young,Knowledge and skills,2014
Current well-being by age,DEU,Germany,Adult numeracy skills,Points,Young,Knowledge and skills,2012
Current well-being by age,DEU,Germany,Voter turnout,Percentage of votes in the same subgroup,Young,Civic engagement,2017
Current well-being by age,NLD,Netherlands,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2012
Current well-being by age,NLD,Netherlands,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2013
Current well-being by age,NLD,Netherlands,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2014
Current well-being by age,NLD,Netherlands,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2015
Current well-being by age,NLD,Netherlands,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2016
Current well-being by age,NLD,Netherlands,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2017
Current well-being by age,NLD,Netherlands,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2018
Current well-being by age,NLD,Netherlands,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2019
Current well-being by age,NLD,Netherlands,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2021
Current well-being by age,NLD,Netherlands,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2022
Current well-being by age,CHL,Chile,Voter turnout,Percentage of votes in the same subgroup,Young,Civic engagement,2017
Current well-being by age,CZE,Czechia,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2010
Current well-being by age,CZE,Czechia,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2011
Current well-being by age,CZE,Czechia,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2012
Current well-being by age,CZE,Czechia,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2013
Current well-being by age,CZE,Czechia,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2014
Current well-being by age,CZE,Czechia,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2015
Current well-being by age,CZE,Czechia,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2016
Current well-being by age,CZE,Czechia,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2017
Current well-being by age,CZE,Czechia,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2018
Current well-being by age,CZE,Czechia,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2020
Current well-being by age,CZE,Czechia,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2021
Current well-being by age,CZE,Czechia,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2022
Current well-being by age,DNK,Denmark,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2010
Current well-being by age,DNK,Denmark,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2011
Current well-being by age,DNK,Denmark,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2012
Current well-being by age,DNK,Denmark,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2013
Current well-being by age,DNK,Denmark,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2014
Current well-being by age,DNK,Denmark,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2015
Current well-being by age,DNK,Denmark,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2016
Current well-being by age,DNK,Denmark,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2017
Current well-being by age,DNK,Denmark,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2018
Current well-being by age,DNK,Denmark,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2019
Current well-being by age,DNK,Denmark,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2020
Current well-being by age,DNK,Denmark,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2021
Current well-being by age,LTU,Lithuania,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2010
Current well-being by age,LTU,Lithuania,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2011
Current well-being by age,LTU,Lithuania,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2012
Current well-being by age,LTU,Lithuania,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2013
Current well-being by age,LTU,Lithuania,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2014
Current well-being by age,LTU,Lithuania,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2015
Current well-being by age,LTU,Lithuania,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2016
Current well-being by age,LTU,Lithuania,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2017
Current well-being by age,LTU,Lithuania,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2018
Current well-being by age,LTU,Lithuania,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2019
Current well-being by age,LTU,Lithuania,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2020
Current well-being by age,LTU,Lithuania,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2021
Current well-being by age,CHL,Chile,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2004
Current well-being by age,CHL,Chile,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2005
Current well-being by age,CHL,Chile,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2006
Current well-being by age,CHL,Chile,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2007
Current well-being by age,CHL,Chile,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2008
Current well-being by age,CHL,Chile,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2009
Current well-being by age,CHL,Chile,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2010
Current well-being by age,CHL,Chile,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2011
Current well-being by age,CHL,Chile,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2012
Current well-being by age,CHL,Chile,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2013
Current well-being by age,CHL,Chile,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2014
Current well-being by age,CHL,Chile,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2015
Current well-being by age,CHL,Chile,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2016
Current well-being by age,CHL,Chile,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2017
Current well-being by age,CHL,Chile,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2018
Current well-being by age,CHL,Chile,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2019
Current well-being by age,CHL,Chile,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2020
Current well-being by age,CHL,Chile,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2021
Current well-being by age,CHL,Chile,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2022
Current well-being by age,CHL,Chile,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2023
Current well-being by age,ESP,Spain,Life satisfaction,0-10 scale,Young,Subjective well-being,2013
Current well-being by age,ESP,Spain,Life satisfaction,0-10 scale,Young,Subjective well-being,2018
Current well-being by age,ESP,Spain,Life satisfaction,0-10 scale,Young,Subjective well-being,2021
Current well-being by age,ESP,Spain,Life satisfaction,0-10 scale,Young,Subjective well-being,2022
Current well-being by age,ESP,Spain,Life satisfaction,0-10 scale,Young,Subjective well-being,2023
Current well-being by age,SVN,Slovenia,Long hours in paid work,Percentage of employees in the same subgroup,Young,Work and job quality,2004
Current well-being by age,SVN,Slovenia,Long hours in paid work,Percentage of employees in the same subgroup,Young,Work and job quality,2005
Current well-being by age,SVN,Slovenia,Long hours in paid work,Percentage of employees in the same subgroup,Young,Work and job quality,2006
Current well-being by age,SVN,Slovenia,Long hours in paid work,Percentage of employees in the same subgroup,Young,Work and job quality,2007
Current well-being by age,SVN,Slovenia,Long hours in paid work,Percentage of employees in the same subgroup,Young,Work and job quality,2008
Current well-being by age,SVN,Slovenia,Long hours in paid work,Percentage of employees in the same subgroup,Young,Work and job quality,2009
Current well-being by age,SVN,Slovenia,Long hours in paid work,Percentage of employees in the same subgroup,Young,Work and job quality,2010
