REF_AREA,Reference area,Measure,Unit of measure,Age,Health status,TIME_PERIOD,OBS_VALUE
GRC,Greece,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2003,95.7
GRC,Greece,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2004,95.7
GRC,Greece,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2005,94.7
GRC,Greece,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2006,94.1
GRC,Greece,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2007,94.1
GRC,Greece,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2008,92.9
GRC,Greece,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2009,93.7
GRC,Greece,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2010,94.9
GRC,Greece,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2011,94.4
GRC,Greece,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2012,93.6
GRC,Greece,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2013,94
GRC,Greece,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2014,93.1
GRC,Greece,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2015,93.4
LTU,Lithuania,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2005,58.4
LTU,Lithuania,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2006,62.6
LTU,Lithuania,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2007,70.2
LTU,Lithuania,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2008,70.7
LTU,Lithuania,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2009,71
LTU,Lithuania,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2010,75.4
LTU,Lithuania,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2011,70.8
LTU,Lithuania,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2012,72.5
LTU,Lithuania,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2013,77.2
LTU,Lithuania,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2014,75.7
LTU,Lithuania,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2015,73.6
SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1980,86.3
SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1981,87.4
SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1982,88.5
SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1983,88
SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1984,87.4
SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1985,88.5
SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1986,87.6
SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1987,86.2
SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1988,86.1
SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1989,86.6
SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1990,84.7
SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1991,85.2
SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1992,83
SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1993,82.2
SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1994,86.7
SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1995,85.1
SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1996,87.2
SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1997,86.8
SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1998,85.4
SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1999,83.5
SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2000,84.4
SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2001,83
SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2002,83.9
SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2003,84
SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2004,82.5
SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2005,84.6
SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2006,85
SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2007,86.7
SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2008,87.6
SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2009,88.4
SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2010,89
SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2011,88.5
SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2012,88.9
SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2013,88.4
SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2014,86.2
SWE,Sweden,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2015,86.6
BEL,Belgium,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1997,84.9
BEL,Belgium,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2001,86.5
BEL,Belgium,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2004,85
BEL,Belgium,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2005,85.4
BEL,Belgium,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2006,86.2
BEL,Belgium,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2007,84.8
BEL,Belgium,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2008,85
BEL,Belgium,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2009,85.1
BEL,Belgium,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2010,84.7
BEL,Belgium,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2011,86
BEL,Belgium,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2012,85.8
BEL,Belgium,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2013,85
BEL,Belgium,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2014,86
BEL,Belgium,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2015,85.6
ROU,Romania,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2008,96.8
ROU,Romania,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2009,97.6
ROU,Romania,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2010,97.6
ROU,Romania,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2011,97.3
ROU,Romania,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2012,96.3
ROU,Romania,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2013,97.7
ROU,Romania,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2014,97.7
ROU,Romania,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2015,98.7
ROU,Romania,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2016,98.5
ROU,Romania,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2017,97.8
ROU,Romania,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2018,98
ROU,Romania,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2019,97.4
ROU,Romania,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2020,97.8
ROU,Romania,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2021,98.2
ROU,Romania,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2022,98.4
ROU,Romania,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2023,98.5
DEU,Germany,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1998,77
DEU,Germany,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2005,75.8
DEU,Germany,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2006,75.8
DEU,Germany,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2007,76
DEU,Germany,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2008,80.5
DEU,Germany,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2009,82
DEU,Germany,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2010,82
DEU,Germany,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2011,80.8
DEU,Germany,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2012,81.4
DEU,Germany,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2013,80.7
DEU,Germany,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2014,81.4
DEU,Germany,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2015,81
DNK,Denmark,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2004,88.1
DNK,Denmark,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2005,86
DNK,Denmark,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2006,85.1
DNK,Denmark,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2007,85.5
DNK,Denmark,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2008,82.7
DNK,Denmark,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2009,81.4
DNK,Denmark,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2010,79.4
DNK,Denmark,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2011,81
DNK,Denmark,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2012,80.7
DNK,Denmark,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2013,82.5
DNK,Denmark,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2014,83.1
DNK,Denmark,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2015,81.1
CRI,Costa Rica,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2018,79.4
KOR,Korea,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1986,63.9
KOR,Korea,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1989,71.2
KOR,Korea,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1992,59.9
KOR,Korea,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1995,58.8
KOR,Korea,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1999,59.2
KOR,Korea,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2003,62.8
KOR,Korea,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2006,65.7
KOR,Korea,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2008,71
KOR,Korea,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2010,69.1
KOR,Korea,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2012,67.1
KOR,Korea,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2014,70.2
KOR,Korea,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2016,68.3
KOR,Korea,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2018,70.1
KOR,Korea,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2020,74
KOR,Korea,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2022,75.4
MEX,Mexico,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2000,56.5
MEX,Mexico,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2001,73.1
MEX,Mexico,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2002,71.4
MEX,Mexico,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2005,69.6
MEX,Mexico,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2006,69.4
GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1991,84.4
GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1992,86.1
GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1993,85.1
GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1994,84.8
GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1995,86.4
GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1996,86.7
GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1997,85.4
GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1998,84
GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1999,87.2
GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2000,86.7
GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2001,86.4
GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2002,86.8
GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2003,87.6
GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2004,88.9
GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2005,90.4
GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2006,89.9
GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2007,91.7
GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2008,93.9
GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2009,93.8
GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2010,93.3
GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2011,93.1
GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2012,90.6
GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2013,91.5
GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2014,89.2
GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2015,87.6
GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2016,86.4
GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2017,88.6
GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2018,87.5
GBR,United Kingdom,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2019,87.8
MEX,Mexico,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2000,64.7
MEX,Mexico,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2001,79.6
MEX,Mexico,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2002,79.3
MEX,Mexico,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2005,78.7
MEX,Mexico,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2006,78.4
ITA,Italy,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1994,77.3
ITA,Italy,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1999,73.4
ITA,Italy,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2000,75.9
ITA,Italy,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2001,78.1
ITA,Italy,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2002,77.2
ITA,Italy,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2003,77.7
ITA,Italy,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2004,78.6
ITA,Italy,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2005,79.8
ITA,Italy,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2006,79
ITA,Italy,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2007,84.9
ITA,Italy,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2008,85.3
ITA,Italy,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2009,85.6
ITA,Italy,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2010,87.5
ITA,Italy,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2011,85.3
ITA,Italy,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2012,89
ITA,Italy,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2013,86.6
ITA,Italy,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2014,88.7
ITA,Italy,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2015,87.2
DNK,Denmark,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2004,93
DNK,Denmark,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2005,91.5
DNK,Denmark,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2006,90.3
DNK,Denmark,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2007,90.7
DNK,Denmark,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2008,88.6
DNK,Denmark,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2009,88.6
DNK,Denmark,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2010,83.3
DNK,Denmark,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2011,84.7
DNK,Denmark,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2012,87.5
DNK,Denmark,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2013,87.7
DNK,Denmark,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2014,88.3
DNK,Denmark,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2015,87.6
DNK,Denmark,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2016,85.3
DNK,Denmark,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2017,86.4
DNK,Denmark,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2018,84
DNK,Denmark,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2019,85.6
DNK,Denmark,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2020,86
DNK,Denmark,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2021,82.1
