STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SEX,Sex,AGE,Age,OPTIONALITY,Optionality,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,1977,,61.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,1978,,61.2,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,1979,,61.4,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,1980,,61.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,1981,,61.7,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,1982,,61.9,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,1983,,62.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,1984,,62.3,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,1985,,62.4,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,1986,,62.2,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,1987,,62.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,1988,,61.9,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,1989,,61.8,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,1990,,61.6,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,1991,,61.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,1992,,60.9,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,1993,,60.3,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,1994,,60.4,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,1995,,60.7,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,1996,,60.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,1997,,60.7,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,1998,,60.6,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,1999,,60.9,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,2000,,60.6,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,2001,,60.9,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,2002,,60.8,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,2003,,60.7,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,2004,,60.4,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,2005,,60.6,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,2006,,60.7,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,2007,,61.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,2008,,61.7,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,2009,,61.2,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,2010,,61.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,2011,,61.6,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,2012,,62.2,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,2013,,62.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,2014,,62.4,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,2015,,62,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,2016,,61.6,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,2017,,61.8,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,2018,,62.3,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,2019,,63,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,2020,,63.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,2021,,63.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,2022,,64,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,DNK,Denmark,A,Annual,GPRR100,Gross pension replacement rate at 100% of average wage,PT_EARN_G_PRE_RET_INC,Percentage of gross pre-retirement earnings at the same income level,M,Male,_Z,Not applicable,MV,Mandatory and voluntary,2022,,73.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,DNK,Denmark,A,Annual,EYLME,Expected years after labour market exit,Y,Years,F,Female,_Z,Not applicable,_Z,Not applicable,1970,,17.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,DNK,Denmark,A,Annual,EYLME,Expected years after labour market exit,Y,Years,F,Female,_Z,Not applicable,_Z,Not applicable,1971,,17.3,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,DNK,Denmark,A,Annual,EYLME,Expected years after labour market exit,Y,Years,F,Female,_Z,Not applicable,_Z,Not applicable,1972,,17.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,DNK,Denmark,A,Annual,EYLME,Expected years after labour market exit,Y,Years,F,Female,_Z,Not applicable,_Z,Not applicable,1973,,17.7,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,DNK,Denmark,A,Annual,EYLME,Expected years after labour market exit,Y,Years,F,Female,_Z,Not applicable,_Z,Not applicable,1974,,17.8,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,DNK,Denmark,A,Annual,EYLME,Expected years after labour market exit,Y,Years,F,Female,_Z,Not applicable,_Z,Not applicable,1975,,18.4,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,DNK,Denmark,A,Annual,EYLME,Expected years after labour market exit,Y,Years,F,Female,_Z,Not applicable,_Z,Not applicable,1976,,18.4,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,DNK,Denmark,A,Annual,EYLME,Expected years after labour market exit,Y,Years,F,Female,_Z,Not applicable,_Z,Not applicable,1977,,18.6,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,DNK,Denmark,A,Annual,EYLME,Expected years after labour market exit,Y,Years,F,Female,_Z,Not applicable,_Z,Not applicable,1978,,18.7,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,DNK,Denmark,A,Annual,EYLME,Expected years after labour market exit,Y,Years,F,Female,_Z,Not applicable,_Z,Not applicable,1979,,18.7,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,DNK,Denmark,A,Annual,EYLME,Expected years after labour market exit,Y,Years,F,Female,_Z,Not applicable,_Z,Not applicable,1980,,19,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,DNK,Denmark,A,Annual,EYLME,Expected years after labour market exit,Y,Years,F,Female,_Z,Not applicable,_Z,Not applicable,1981,,19,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,DNK,Denmark,A,Annual,EYLME,Expected years after labour market exit,Y,Years,F,Female,_Z,Not applicable,_Z,Not applicable,1982,,19,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,DNK,Denmark,A,Annual,EYLME,Expected years after labour market exit,Y,Years,F,Female,_Z,Not applicable,_Z,Not applicable,1983,,19.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,DNK,Denmark,A,Annual,EYLME,Expected years after labour market exit,Y,Years,F,Female,_Z,Not applicable,_Z,Not applicable,1984,,20.3,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,DNK,Denmark,A,Annual,EYLME,Expected years after labour market exit,Y,Years,F,Female,_Z,Not applicable,_Z,Not applicable,1985,,19.8,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,DNK,Denmark,A,Annual,EYLME,Expected years after labour market exit,Y,Years,F,Female,_Z,Not applicable,_Z,Not applicable,1986,,19.4,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,DNK,Denmark,A,Annual,EYLME,Expected years after labour market exit,Y,Years,F,Female,_Z,Not applicable,_Z,Not applicable,1987,,21,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,DNK,Denmark,A,Annual,EYLME,Expected years after labour market exit,Y,Years,F,Female,_Z,Not applicable,_Z,Not applicable,1988,,21.2,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,DNK,Denmark,A,Annual,EYLME,Expected years after labour market exit,Y,Years,F,Female,_Z,Not applicable,_Z,Not applicable,1989,,20.7,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,DNK,Denmark,A,Annual,EYLME,Expected years after labour market exit,Y,Years,F,Female,_Z,Not applicable,_Z,Not applicable,1990,,20.6,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,DNK,Denmark,A,Annual,EYLME,Expected years after labour market exit,Y,Years,F,Female,_Z,Not applicable,_Z,Not applicable,1991,,20.8,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,DNK,Denmark,A,Annual,EYLME,Expected years after labour market exit,Y,Years,F,Female,_Z,Not applicable,_Z,Not applicable,1992,,20.9,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,DNK,Denmark,A,Annual,EYLME,Expected years after labour market exit,Y,Years,F,Female,_Z,Not applicable,_Z,Not applicable,1993,,21.7,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,DNK,Denmark,A,Annual,EYLME,Expected years after labour market exit,Y,Years,F,Female,_Z,Not applicable,_Z,Not applicable,1994,,22.8,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,DNK,Denmark,A,Annual,EYLME,Expected years after labour market exit,Y,Years,F,Female,_Z,Not applicable,_Z,Not applicable,1995,,22.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,DNK,Denmark,A,Annual,EYLME,Expected years after labour market exit,Y,Years,F,Female,_Z,Not applicable,_Z,Not applicable,1996,,23.4,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,DNK,Denmark,A,Annual,EYLME,Expected years after labour market exit,Y,Years,F,Female,_Z,Not applicable,_Z,Not applicable,1997,,23.4,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,DNK,Denmark,A,Annual,EYLME,Expected years after labour market exit,Y,Years,F,Female,_Z,Not applicable,_Z,Not applicable,1998,,22.9,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,DNK,Denmark,A,Annual,EYLME,Expected years after labour market exit,Y,Years,F,Female,_Z,Not applicable,_Z,Not applicable,1999,,21.8,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,DNK,Denmark,A,Annual,EYLME,Expected years after labour market exit,Y,Years,F,Female,_Z,Not applicable,_Z,Not applicable,2000,,22.8,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,DNK,Denmark,A,Annual,EYLME,Expected years after labour market exit,Y,Years,F,Female,_Z,Not applicable,_Z,Not applicable,2001,,22.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,DNK,Denmark,A,Annual,EYLME,Expected years after labour market exit,Y,Years,F,Female,_Z,Not applicable,_Z,Not applicable,2002,,21.1,,A,Normal value,0,Units,1,One
