Country Name,Country Code,Series Name,year_T1,values_T1
Africa Eastern and Southern,AFE,Armed forces personnel (% of total labor force),1/1/2000,0.890780869
Africa Eastern and Southern,AFE,Armed forces personnel (% of total labor force),1/1/2001,0.780803428
Africa Eastern and Southern,AFE,Armed forces personnel (% of total labor force),1/1/2002,0.73141403
Africa Eastern and Southern,AFE,Armed forces personnel (% of total labor force),1/1/2003,0.674220114
Africa Eastern and Southern,AFE,Armed forces personnel (% of total labor force),1/1/2004,0.646816205
Africa Eastern and Southern,AFE,Armed forces personnel (% of total labor force),1/1/2005,0.628970101
Africa Eastern and Southern,AFE,Armed forces personnel (% of total labor force),1/1/2007,0.592858689
Africa Eastern and Southern,AFE,Armed forces personnel (% of total labor force),1/1/2008,0.581698074
Africa Eastern and Southern,AFE,Armed forces personnel (% of total labor force),1/1/2009,0.573961081
Africa Eastern and Southern,AFE,Armed forces personnel (% of total labor force),1/1/2010,0.619845494
Africa Eastern and Southern,AFE,Armed forces personnel (% of total labor force),1/1/2011,0.688065289
Africa Eastern and Southern,AFE,Armed forces personnel (% of total labor force),1/1/2012,0.670414496
Africa Eastern and Southern,AFE,Armed forces personnel (% of total labor force),1/1/2013,0.642382374
Africa Eastern and Southern,AFE,Armed forces personnel (% of total labor force),1/1/2014,0.629030269
Africa Eastern and Southern,AFE,Armed forces personnel (% of total labor force),1/1/2015,0.6052819
Africa Eastern and Southern,AFE,Armed forces personnel (% of total labor force),1/1/2016,0.538655326
Africa Eastern and Southern,AFE,Armed forces personnel (% of total labor force),1/1/2017,0.514660593
Africa Eastern and Southern,AFE,Armed forces personnel (% of total labor force),1/1/2018,0.511736564
Africa Eastern and Southern,AFE,Armed forces personnel (% of total labor force),1/1/2019,0.497166127
Africa Eastern and Southern,AFE,Armed forces personnel (% of total labor force),1/1/2020,0.435665062
Africa Western and Central,AFW,Armed forces personnel (% of total labor force),1/1/1991,0.436262596
Africa Western and Central,AFW,Armed forces personnel (% of total labor force),1/1/1992,0.359462159
Africa Western and Central,AFW,Armed forces personnel (% of total labor force),1/1/1993,0.338791553
Africa Western and Central,AFW,Armed forces personnel (% of total labor force),1/1/1994,0.326083115
Africa Western and Central,AFW,Armed forces personnel (% of total labor force),1/1/1995,0.416668442
Africa Western and Central,AFW,Armed forces personnel (% of total labor force),1/1/1996,0.41377237
Africa Western and Central,AFW,Armed forces personnel (% of total labor force),1/1/1997,0.415395231
Africa Western and Central,AFW,Armed forces personnel (% of total labor force),1/1/1998,0.384354046
Africa Western and Central,AFW,Armed forces personnel (% of total labor force),1/1/1999,0.380849112
Africa Western and Central,AFW,Armed forces personnel (% of total labor force),1/1/2000,0.366805125
Africa Western and Central,AFW,Armed forces personnel (% of total labor force),1/1/2001,0.426326885
Africa Western and Central,AFW,Armed forces personnel (% of total labor force),1/1/2002,0.424737955
Africa Western and Central,AFW,Armed forces personnel (% of total labor force),1/1/2003,0.408198633
Africa Western and Central,AFW,Armed forces personnel (% of total labor force),1/1/2004,0.353543839
Africa Western and Central,AFW,Armed forces personnel (% of total labor force),1/1/2005,0.365730067
Africa Western and Central,AFW,Armed forces personnel (% of total labor force),1/1/2007,0.346289282
Africa Western and Central,AFW,Armed forces personnel (% of total labor force),1/1/2008,0.335425056
Africa Western and Central,AFW,Armed forces personnel (% of total labor force),1/1/2009,0.328129624
Africa Western and Central,AFW,Armed forces personnel (% of total labor force),1/1/2010,0.325264497
Africa Western and Central,AFW,Armed forces personnel (% of total labor force),1/1/2011,0.31310635
Africa Western and Central,AFW,Armed forces personnel (% of total labor force),1/1/2012,0.307379659
Africa Western and Central,AFW,Armed forces personnel (% of total labor force),1/1/2013,0.304500152
Africa Western and Central,AFW,Armed forces personnel (% of total labor force),1/1/2014,0.301808284
Africa Western and Central,AFW,Armed forces personnel (% of total labor force),1/1/2015,0.321452566
Africa Western and Central,AFW,Armed forces personnel (% of total labor force),1/1/2016,0.313934275
Africa Western and Central,AFW,Armed forces personnel (% of total labor force),1/1/2017,0.317382883
Africa Western and Central,AFW,Armed forces personnel (% of total labor force),1/1/2018,0.324083698
Africa Western and Central,AFW,Armed forces personnel (% of total labor force),1/1/2019,0.382851379
Africa Western and Central,AFW,Armed forces personnel (% of total labor force),1/1/2020,0.329197509
Albania,ALB,Armed forces personnel (% of total labor force),1/1/1992,4.56208542
Albania,ALB,Armed forces personnel (% of total labor force),1/1/1993,4.636438987
Albania,ALB,Armed forces personnel (% of total labor force),1/1/1994,4.703410189
Albania,ALB,Armed forces personnel (% of total labor force),1/1/1995,6.380171166
Albania,ALB,Armed forces personnel (% of total labor force),1/1/1996,5.045665138
Albania,ALB,Armed forces personnel (% of total labor force),1/1/1997,4.989226965
Albania,ALB,Armed forces personnel (% of total labor force),1/1/1998,5.041312623
Albania,ALB,Armed forces personnel (% of total labor force),1/1/1999,5.10569546
Albania,ALB,Armed forces personnel (% of total labor force),1/1/2000,5.132876875
Albania,ALB,Armed forces personnel (% of total labor force),1/1/2001,3.10607118
Albania,ALB,Armed forces personnel (% of total labor force),1/1/2002,2.064057647
Albania,ALB,Armed forces personnel (% of total labor force),1/1/2003,1.699042435
Albania,ALB,Armed forces personnel (% of total labor force),1/1/2004,1.678157492
Albania,ALB,Armed forces personnel (% of total labor force),1/1/2005,1.776598643
Albania,ALB,Armed forces personnel (% of total labor force),1/1/2006,0.920030177
Albania,ALB,Armed forces personnel (% of total labor force),1/1/2007,1.177427816
Albania,ALB,Armed forces personnel (% of total labor force),1/1/2008,1.19622455
Albania,ALB,Armed forces personnel (% of total labor force),1/1/2009,1.171245738
Albania,ALB,Armed forces personnel (% of total labor force),1/1/2010,1.160425135
Albania,ALB,Armed forces personnel (% of total labor force),1/1/2011,1.062067208
Albania,ALB,Armed forces personnel (% of total labor force),1/1/2012,1.110111801
Albania,ALB,Armed forces personnel (% of total labor force),1/1/2013,0.692216232
Albania,ALB,Armed forces personnel (% of total labor force),1/1/2014,0.676692328
Albania,ALB,Armed forces personnel (% of total labor force),1/1/2015,0.649676729
Albania,ALB,Armed forces personnel (% of total labor force),1/1/2016,0.627307199
Albania,ALB,Armed forces personnel (% of total labor force),1/1/2017,0.653443393
Albania,ALB,Armed forces personnel (% of total labor force),1/1/2018,0.638574588
Albania,ALB,Armed forces personnel (% of total labor force),1/1/2019,0.558267807
Albania,ALB,Armed forces personnel (% of total labor force),1/1/2020,0.588358157
Algeria,DZA,Armed forces personnel (% of total labor force),1/1/1991,1.899495578
Algeria,DZA,Armed forces personnel (% of total labor force),1/1/1992,1.833805951
Algeria,DZA,Armed forces personnel (% of total labor force),1/1/1993,1.762267585
Algeria,DZA,Armed forces personnel (% of total labor force),1/1/1994,1.695993901
Algeria,DZA,Armed forces personnel (% of total labor force),1/1/1995,2.120772044
Algeria,DZA,Armed forces personnel (% of total labor force),1/1/1996,2.06942059
Algeria,DZA,Armed forces personnel (% of total labor force),1/1/1997,3.281908268
Algeria,DZA,Armed forces personnel (% of total labor force),1/1/1998,3.163821174
Algeria,DZA,Armed forces personnel (% of total labor force),1/1/1999,3.484500352
Algeria,DZA,Armed forces personnel (% of total labor force),1/1/2000,3.418986488
Algeria,DZA,Armed forces personnel (% of total labor force),1/1/2001,3.33705636
Algeria,DZA,Armed forces personnel (% of total labor force),1/1/2002,3.397840282
Algeria,DZA,Armed forces personnel (% of total labor force),1/1/2003,3.2304281
Algeria,DZA,Armed forces personnel (% of total labor force),1/1/2004,3.262483076
Algeria,DZA,Armed forces personnel (% of total labor force),1/1/2005,3.217014558
Algeria,DZA,Armed forces personnel (% of total labor force),1/1/2006,3.314297951
Algeria,DZA,Armed forces personnel (% of total labor force),1/1/2007,3.26028187
Algeria,DZA,Armed forces personnel (% of total labor force),1/1/2008,3.210678987
Algeria,DZA,Armed forces personnel (% of total labor force),1/1/2009,3.167224627
Algeria,DZA,Armed forces personnel (% of total labor force),1/1/2010,2.928308509
Algeria,DZA,Armed forces personnel (% of total labor force),1/1/2011,2.865959128
Algeria,DZA,Armed forces personnel (% of total labor force),1/1/2012,2.808612701
Algeria,DZA,Armed forces personnel (% of total labor force),1/1/2013,2.689571551
Algeria,DZA,Armed forces personnel (% of total labor force),1/1/2014,2.812222529
Algeria,DZA,Armed forces personnel (% of total labor force),1/1/2015,2.708967785
Algeria,DZA,Armed forces personnel (% of total labor force),1/1/2016,2.661362735
Algeria,DZA,Armed forces personnel (% of total labor force),1/1/2017,2.626524316
Algeria,DZA,Armed forces personnel (% of total labor force),1/1/2018,2.59293547
Algeria,DZA,Armed forces personnel (% of total labor force),1/1/2019,2.556034196
Algeria,DZA,Armed forces personnel (% of total labor force),1/1/2020,2.743801492
Angola,AGO,Armed forces personnel (% of total labor force),1/1/1991,2.972767075
Angola,AGO,Armed forces personnel (% of total labor force),1/1/1992,2.45989979
Angola,AGO,Armed forces personnel (% of total labor force),1/1/1993,2.387065239
Angola,AGO,Armed forces personnel (% of total labor force),1/1/1994,2.170443479
Angola,AGO,Armed forces personnel (% of total labor force),1/1/1995,2.13583415
Angola,AGO,Armed forces personnel (% of total labor force),1/1/1996,1.799635912
Angola,AGO,Armed forces personnel (% of total labor force),1/1/1997,2.049843371
Angola,AGO,Armed forces personnel (% of total labor force),1/1/1998,2.035225172
Angola,AGO,Armed forces personnel (% of total labor force),1/1/1999,1.944121229
Angola,AGO,Armed forces personnel (% of total labor force),1/1/2000,1.731120328
Angola,AGO,Armed forces personnel (% of total labor force),1/1/2001,2.069276534
Angola,AGO,Armed forces personnel (% of total labor force),1/1/2002,1.509726274
Angola,AGO,Armed forces personnel (% of total labor force),1/1/2003,1.720817939
Angola,AGO,Armed forces personnel (% of total labor force),1/1/2004,1.505469575
Angola,AGO,Armed forces personnel (% of total labor force),1/1/2005,1.450896439
Angola,AGO,Armed forces personnel (% of total labor force),1/1/2006,1.303019725
Angola,AGO,Armed forces personnel (% of total labor force),1/1/2007,1.335206731
Angola,AGO,Armed forces personnel (% of total labor force),1/1/2008,1.2866019
Angola,AGO,Armed forces personnel (% of total labor force),1/1/2009,1.239965289
Angola,AGO,Armed forces personnel (% of total labor force),1/1/2010,1.194646025
Angola,AGO,Armed forces personnel (% of total labor force),1/1/2011,1.149768444
Angola,AGO,Armed forces personnel (% of total labor force),1/1/2012,1.11139334
Angola,AGO,Armed forces personnel (% of total labor force),1/1/2013,1.074739004
Angola,AGO,Armed forces personnel (% of total labor force),1/1/2014,1.039857655
Angola,AGO,Armed forces personnel (% of total labor force),1/1/2015,1.006577251
Angola,AGO,Armed forces personnel (% of total labor force),1/1/2016,0.974068223
Angola,AGO,Armed forces personnel (% of total labor force),1/1/2017,0.942359039
Angola,AGO,Armed forces personnel (% of total labor force),1/1/2018,0.91221498
Angola,AGO,Armed forces personnel (% of total labor force),1/1/2019,0.883277718
Angola,AGO,Armed forces personnel (% of total labor force),1/1/2020,0.852243549
Arab World,ARB,Armed forces personnel (% of total labor force),1/1/1991,3.965798768
Arab World,ARB,Armed forces personnel (% of total labor force),1/1/1992,3.593151554
Arab World,ARB,Armed forces personnel (% of total labor force),1/1/1993,3.45804393
Arab World,ARB,Armed forces personnel (% of total labor force),1/1/1994,3.254040672
Arab World,ARB,Armed forces personnel (% of total labor force),1/1/1995,4.321877609
Arab World,ARB,Armed forces personnel (% of total labor force),1/1/1996,4.317178687
Arab World,ARB,Armed forces personnel (% of total labor force),1/1/1997,4.262877109
Arab World,ARB,Armed forces personnel (% of total labor force),1/1/1998,4.192870417
Arab World,ARB,Armed forces personnel (% of total labor force),1/1/1999,3.866707762
Arab World,ARB,Armed forces personnel (% of total labor force),1/1/2000,3.859164652
Arab World,ARB,Armed forces personnel (% of total labor force),1/1/2001,3.855910397
Arab World,ARB,Armed forces personnel (% of total labor force),1/1/2002,3.752127459
Arab World,ARB,Armed forces personnel (% of total labor force),1/1/2003,3.630767968
Arab World,ARB,Armed forces personnel (% of total labor force),1/1/2004,3.253776408
Arab World,ARB,Armed forces personnel (% of total labor force),1/1/2005,3.25231914
Arab World,ARB,Armed forces personnel (% of total labor force),1/1/2006,3.675848398
Arab World,ARB,Armed forces personnel (% of total labor force),1/1/2007,3.215050819
Arab World,ARB,Armed forces personnel (% of total labor force),1/1/2008,3.317134754
Arab World,ARB,Armed forces personnel (% of total labor force),1/1/2009,3.236209241
Arab World,ARB,Armed forces personnel (% of total labor force),1/1/2010,3.194567527
Arab World,ARB,Armed forces personnel (% of total labor force),1/1/2011,3.044429541
Arab World,ARB,Armed forces personnel (% of total labor force),1/1/2012,2.966595354
Arab World,ARB,Armed forces personnel (% of total labor force),1/1/2013,2.358213965
Arab World,ARB,Armed forces personnel (% of total labor force),1/1/2014,2.332262491
Arab World,ARB,Armed forces personnel (% of total labor force),1/1/2015,2.339174887
Arab World,ARB,Armed forces personnel (% of total labor force),1/1/2016,2.208433708
Arab World,ARB,Armed forces personnel (% of total labor force),1/1/2017,2.159778044
Arab World,ARB,Armed forces personnel (% of total labor force),1/1/2018,2.212382055
Arab World,ARB,Armed forces personnel (% of total labor force),1/1/2019,2.187406567
Arab World,ARB,Armed forces personnel (% of total labor force),1/1/2020,2.287408496
Argentina,ARG,Armed forces personnel (% of total labor force),1/1/1991,0.504764799
Argentina,ARG,Armed forces personnel (% of total labor force),1/1/1992,0.455326004
Argentina,ARG,Armed forces personnel (% of total labor force),1/1/1993,0.4422507
Argentina,ARG,Armed forces personnel (% of total labor force),1/1/1994,0.457951735
Argentina,ARG,Armed forces personnel (% of total labor force),1/1/1995,0.647964802
Argentina,ARG,Armed forces personnel (% of total labor force),1/1/1996,0.666300983
Argentina,ARG,Armed forces personnel (% of total labor force),1/1/1997,0.651785727
Argentina,ARG,Armed forces personnel (% of total labor force),1/1/1998,0.639233312
Argentina,ARG,Armed forces personnel (% of total labor force),1/1/1999,0.619975571
Argentina,ARG,Armed forces personnel (% of total labor force),1/1/2000,0.616694369
Argentina,ARG,Armed forces personnel (% of total labor force),1/1/2001,0.608364051
Argentina,ARG,Armed forces personnel (% of total labor force),1/1/2002,0.613036689
Argentina,ARG,Armed forces personnel (% of total labor force),1/1/2003,0.605245639
Argentina,ARG,Armed forces personnel (% of total labor force),1/1/2004,0.585360815
Argentina,ARG,Armed forces personnel (% of total labor force),1/1/2005,0.581332225
Argentina,ARG,Armed forces personnel (% of total labor force),1/1/2006,0.598524687
Argentina,ARG,Armed forces personnel (% of total labor force),1/1/2007,0.596962365
Argentina,ARG,Armed forces personnel (% of total labor force),1/1/2008,0.595550348
Argentina,ARG,Armed forces personnel (% of total labor force),1/1/2009,0.569406064
Argentina,ARG,Armed forces personnel (% of total labor force),1/1/2010,0.571542288
Argentina,ARG,Armed forces personnel (% of total labor force),1/1/2011,0.559100065
Argentina,ARG,Armed forces personnel (% of total labor force),1/1/2012,0.55401512
Argentina,ARG,Armed forces personnel (% of total labor force),1/1/2013,0.557105091
Argentina,ARG,Armed forces personnel (% of total labor force),1/1/2014,0.554601298
Argentina,ARG,Armed forces personnel (% of total labor force),1/1/2015,0.548376877
Argentina,ARG,Armed forces personnel (% of total labor force),1/1/2016,0.543436893
Argentina,ARG,Armed forces personnel (% of total labor force),1/1/2017,0.536242046
Argentina,ARG,Armed forces personnel (% of total labor force),1/1/2018,0.523304771
Argentina,ARG,Armed forces personnel (% of total labor force),1/1/2019,0.499818585
Argentina,ARG,Armed forces personnel (% of total labor force),1/1/2020,0.530747518
Armenia,ARM,Armed forces personnel (% of total labor force),1/1/1992,1.240714801
Armenia,ARM,Armed forces personnel (% of total labor force),1/1/1993,1.359503121
Armenia,ARM,Armed forces personnel (% of total labor force),1/1/1994,3.003329692
Armenia,ARM,Armed forces personnel (% of total labor force),1/1/1995,4.142397987
Armenia,ARM,Armed forces personnel (% of total labor force),1/1/1996,3.990289385
Armenia,ARM,Armed forces personnel (% of total labor force),1/1/1997,4.192246818
Armenia,ARM,Armed forces personnel (% of total labor force),1/1/1998,3.755316292
Armenia,ARM,Armed forces personnel (% of total labor force),1/1/1999,3.767981027
Armenia,ARM,Armed forces personnel (% of total labor force),1/1/2000,2.940084825
Armenia,ARM,Armed forces personnel (% of total labor force),1/1/2001,2.99979141
Armenia,ARM,Armed forces personnel (% of total labor force),1/1/2002,3.192007661
Armenia,ARM,Armed forces personnel (% of total labor force),1/1/2003,3.198325648
Armenia,ARM,Armed forces personnel (% of total labor force),1/1/2004,3.437908909
Armenia,ARM,Armed forces personnel (% of total labor force),1/1/2005,3.434034647
Armenia,ARM,Armed forces personnel (% of total labor force),1/1/2006,3.285690816
Armenia,ARM,Armed forces personnel (% of total labor force),1/1/2007,2.925172011
Armenia,ARM,Armed forces personnel (% of total labor force),1/1/2008,2.922753707
Armenia,ARM,Armed forces personnel (% of total labor force),1/1/2009,3.818913276
Armenia,ARM,Armed forces personnel (% of total labor force),1/1/2010,3.812584109
Armenia,ARM,Armed forces personnel (% of total labor force),1/1/2011,3.823087888
Armenia,ARM,Armed forces personnel (% of total labor force),1/1/2012,3.395456589
Armenia,ARM,Armed forces personnel (% of total labor force),1/1/2013,3.408593126
Armenia,ARM,Armed forces personnel (% of total labor force),1/1/2014,3.424564379
Armenia,ARM,Armed forces personnel (% of total labor force),1/1/2015,3.441834056
Armenia,ARM,Armed forces personnel (% of total labor force),1/1/2016,3.460551475
Armenia,ARM,Armed forces personnel (% of total labor force),1/1/2017,3.47900668
Armenia,ARM,Armed forces personnel (% of total labor force),1/1/2018,3.492164813
Armenia,ARM,Armed forces personnel (% of total labor force),1/1/2019,3.466023071
Armenia,ARM,Armed forces personnel (% of total labor force),1/1/2020,3.385347639
Australia,AUS,Armed forces personnel (% of total labor force),1/1/1991,0.797835894
Australia,AUS,Armed forces personnel (% of total labor force),1/1/1992,0.791544627
Australia,AUS,Armed forces personnel (% of total labor force),1/1/1993,0.788770872
Australia,AUS,Armed forces personnel (% of total labor force),1/1/1994,0.740015736
Australia,AUS,Armed forces personnel (% of total labor force),1/1/1995,0.635871694
Australia,AUS,Armed forces personnel (% of total labor force),1/1/1996,0.645936428
Australia,AUS,Armed forces personnel (% of total labor force),1/1/1997,0.637388628
Australia,AUS,Armed forces personnel (% of total labor force),1/1/1998,0.630984425
Australia,AUS,Armed forces personnel (% of total labor force),1/1/1999,0.601690837
Australia,AUS,Armed forces personnel (% of total labor force),1/1/2000,0.541745706
Australia,AUS,Armed forces personnel (% of total labor force),1/1/2001,0.533295043
Australia,AUS,Armed forces personnel (% of total labor force),1/1/2002,0.517220075
Australia,AUS,Armed forces personnel (% of total labor force),1/1/2003,0.535175135
Australia,AUS,Armed forces personnel (% of total labor force),1/1/2004,0.513445052
Australia,AUS,Armed forces personnel (% of total labor force),1/1/2005,0.508219686
Australia,AUS,Armed forces personnel (% of total labor force),1/1/2006,0.478695785
Australia,AUS,Armed forces personnel (% of total labor force),1/1/2007,0.502714843
Australia,AUS,Armed forces personnel (% of total labor force),1/1/2008,0.489738683
Australia,AUS,Armed forces personnel (% of total labor force),1/1/2009,0.492812555
Australia,AUS,Armed forces personnel (% of total labor force),1/1/2010,0.484810536
Australia,AUS,Armed forces personnel (% of total labor force),1/1/2011,0.481602896
Australia,AUS,Armed forces personnel (% of total labor force),1/1/2012,0.467943887
Australia,AUS,Armed forces personnel (% of total labor force),1/1/2013,0.465903231
Australia,AUS,Armed forces personnel (% of total labor force),1/1/2014,0.460626873
Australia,AUS,Armed forces personnel (% of total labor force),1/1/2015,0.460321336
Australia,AUS,Armed forces personnel (% of total labor force),1/1/2016,0.454032044
Australia,AUS,Armed forces personnel (% of total labor force),1/1/2017,0.445885595
Australia,AUS,Armed forces personnel (% of total labor force),1/1/2018,0.436560179
Australia,AUS,Armed forces personnel (% of total labor force),1/1/2019,0.434223814
Australia,AUS,Armed forces personnel (% of total labor force),1/1/2020,0.441598554
Austria,AUT,Armed forces personnel (% of total labor force),1/1/1991,1.232697756
Austria,AUT,Armed forces personnel (% of total labor force),1/1/1992,1.204797174
Austria,AUT,Armed forces personnel (% of total labor force),1/1/1993,1.221332278
Austria,AUT,Armed forces personnel (% of total labor force),1/1/1994,1.168441789
Austria,AUT,Armed forces personnel (% of total labor force),1/1/1995,1.437370817
Austria,AUT,Armed forces personnel (% of total labor force),1/1/1996,1.448535331
Austria,AUT,Armed forces personnel (% of total labor force),1/1/1997,1.185523173
Austria,AUT,Armed forces personnel (% of total labor force),1/1/1998,1.173550897
Austria,AUT,Armed forces personnel (% of total labor force),1/1/1999,1.037917031
Austria,AUT,Armed forces personnel (% of total labor force),1/1/2000,1.03798247
Austria,AUT,Armed forces personnel (% of total labor force),1/1/2001,0.888117932
Austria,AUT,Armed forces personnel (% of total labor force),1/1/2002,0.870819907
Austria,AUT,Armed forces personnel (% of total labor force),1/1/2003,0.861920144
Austria,AUT,Armed forces personnel (% of total labor force),1/1/2004,0.981608186
Austria,AUT,Armed forces personnel (% of total labor force),1/1/2005,0.990217395
Austria,AUT,Armed forces personnel (% of total labor force),1/1/2006,0.973948106
Austria,AUT,Armed forces personnel (% of total labor force),1/1/2007,0.834614666
Austria,AUT,Armed forces personnel (% of total labor force),1/1/2008,0.826057147
Austria,AUT,Armed forces personnel (% of total labor force),1/1/2009,0.605299432
Austria,AUT,Armed forces personnel (% of total labor force),1/1/2010,0.599752164
Austria,AUT,Armed forces personnel (% of total labor force),1/1/2011,0.537800929
Austria,AUT,Armed forces personnel (% of total labor force),1/1/2012,0.521529445
Austria,AUT,Armed forces personnel (% of total labor force),1/1/2013,0.509686536
Austria,AUT,Armed forces personnel (% of total labor force),1/1/2014,0.506955885
Austria,AUT,Armed forces personnel (% of total labor force),1/1/2015,0.475461509
Austria,AUT,Armed forces personnel (% of total labor force),1/1/2016,0.489797239
Austria,AUT,Armed forces personnel (% of total labor force),1/1/2017,0.456491769
Austria,AUT,Armed forces personnel (% of total labor force),1/1/2018,0.492602873
Austria,AUT,Armed forces personnel (% of total labor force),1/1/2019,0.472210417
Austria,AUT,Armed forces personnel (% of total labor force),1/1/2020,0.495545157
Azerbaijan,AZE,Armed forces personnel (% of total labor force),1/1/1992,1.20915176
Azerbaijan,AZE,Armed forces personnel (% of total labor force),1/1/1993,1.212794497
Azerbaijan,AZE,Armed forces personnel (% of total labor force),1/1/1994,1.293143469
Azerbaijan,AZE,Armed forces personnel (% of total labor force),1/1/1995,3.171889102
Azerbaijan,AZE,Armed forces personnel (% of total labor force),1/1/1996,2.72352595
Azerbaijan,AZE,Armed forces personnel (% of total labor force),1/1/1997,2.589337608
Azerbaijan,AZE,Armed forces personnel (% of total labor force),1/1/1998,2.091744916
Azerbaijan,AZE,Armed forces personnel (% of total labor force),1/1/1999,2.009651059
Azerbaijan,AZE,Armed forces personnel (% of total labor force),1/1/2000,2.04052946
Azerbaijan,AZE,Armed forces personnel (% of total labor force),1/1/2001,2.056127318
Azerbaijan,AZE,Armed forces personnel (% of total labor force),1/1/2002,2.071399795
Azerbaijan,AZE,Armed forces personnel (% of total labor force),1/1/2003,1.94956954
Azerbaijan,AZE,Armed forces personnel (% of total labor force),1/1/2004,1.96883935
Azerbaijan,AZE,Armed forces personnel (% of total labor force),1/1/2005,1.992372614
Azerbaijan,AZE,Armed forces personnel (% of total labor force),1/1/2006,2.003011357
Azerbaijan,AZE,Armed forces personnel (% of total labor force),1/1/2007,2.058615822
Azerbaijan,AZE,Armed forces personnel (% of total labor force),1/1/2008,2.035973668
Azerbaijan,AZE,Armed forces personnel (% of total labor force),1/1/2009,1.978591419
Azerbaijan,AZE,Armed forces personnel (% of total labor force),1/1/2010,1.953980586
Azerbaijan,AZE,Armed forces personnel (% of total labor force),1/1/2011,1.917419245
Azerbaijan,AZE,Armed forces personnel (% of total labor force),1/1/2012,1.879891992
Azerbaijan,AZE,Armed forces personnel (% of total labor force),1/1/2013,1.850605653
Azerbaijan,AZE,Armed forces personnel (% of total labor force),1/1/2014,1.808503032
Azerbaijan,AZE,Armed forces personnel (% of total labor force),1/1/2015,1.771241224
Azerbaijan,AZE,Armed forces personnel (% of total labor force),1/1/2016,1.722797925
Azerbaijan,AZE,Armed forces personnel (% of total labor force),1/1/2017,1.693683675
Azerbaijan,AZE,Armed forces personnel (% of total labor force),1/1/2018,1.663777642
Azerbaijan,AZE,Armed forces personnel (% of total labor force),1/1/2019,1.57945111
Azerbaijan,AZE,Armed forces personnel (% of total labor force),1/1/2020,1.587482891
"Bahamas, The",BHS,Armed forces personnel (% of total labor force),1/1/1995,1.374228632
"Bahamas, The",BHS,Armed forces personnel (% of total labor force),1/1/1996,2.046166635
"Bahamas, The",BHS,Armed forces personnel (% of total labor force),1/1/1997,1.97241121
